0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:51:58 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka6.jpg HTTP/1.1" 200 553118
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:51:58 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka4.jpg HTTP/1.1" 200 67777
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:51:58 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_main2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:54:17 +0900] "GET /Team_Proj/citylisting-master/blog_details.html HTTP/1.1" 200 14324
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:54:17 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:54:17 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:54:17 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:54:17 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:54:17 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:54:17 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:54:17 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_main2.jpg HTTP/1.1" 304 -
